source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
Yourator,40985,機電技師／工程師,永續能源發展部工程師,上洋股份有限公司,50000,60000,0,3,https://www.yourator.co/companies/upyoung/jobs/40985,,"1.設備選型與規格確認
依據專案需求進行設備規格選型，並與廠商討論與調整客製化規格。
2.設備資料核對與整理
確認並統整廠商提供的所有設備技術文件，包括交貨期程、設備圖面（如馬達、幫浦、閥件、壓縮機、加熱器、發電機、引擎、感測器、儲槽、過濾器等）、規格書、計算資料、備品備件與產品說明書。
3.圖面繪製與審查
協助繪製與審查各類工程圖，如平面配置圖、製程與儀控圖（P&ID）、控制邏輯圖與施工計畫圖等。
4.專案時程規劃
建立整體專案進度表，涵蓋從啟動、安裝、測試到售後服務的各階段時間表。
5.跨部門與廠商協作
與廠商、業務、採購團隊密切合作，確保物料清單（BOM）準確性與交期符合專案需求。
6.出差支援
與業務團隊一同前往客戶端，提供現場技術支援與說明。
7.會議安排與溝通協調
負責與廠商、客戶、業務及內部相關部門安排與主持技術協調會議。
8.其他主管交辦事項。
•Size and select equipment, review and customize specifications with vendor.
•Verify and organize all equipment data sheets provided from vendor. Including delivery schedules, equipment drawings (motors, pumps, valves, compressors, space heaters, generators, engines, sensors, tanks, strainers, etc.), data sheets, calculations, spare parts, and product data.
•Drafting and reviewing floor plan drawings, P&ID drawings, control diagram and construction plan.
•Builds project schedule that timelines from project kick off, to final testing and also after services.
•Partners with vendor, sales and procurement team to ensure BOM’s accuracy and timely deliveries.
•Travel to customer locations with sales for technical support.
•Schedule and facilitate meetings with vendors, customers, sales, and other departments.
•Other duties, as assigned."
Yourator,42172,FAE工程師,FAE工程師【明基BenQ大型顯示產品事業部】,BENQ,40000,40000,1,0,https://www.yourator.co/companies/benq/jobs/42172,,"1. 協助新產品新技術與應用導入
2. 前端用戶使用問題釐清與分析
3. 新版軟體內部測試驗證
4. 前端On site support and training"
Yourator,40806,軟體工程師,資訊系統工程師,和泰汽車 Hotai Motor,44000,76000,0,0,https://www.yourator.co/companies/hotaimotor/jobs/40806,,"推動行動化數位應用服務，參與公司關鍵業務系統的開發維運與優化，涵蓋 API、Web系統開發與雲端架構等，並有機會接觸 AI、App 等前瞻技術，累積全方位實戰經驗。
1. API、Web系統前後端開發與維運。
2. 系統架構檢核與效能優化、風險修正。
3. 參與跨單位技術開發團隊，共同評估與研究新技術 ( AI、App等 )，協作完成專案。
*錄取後需至經銷商據點見學三週"
Yourator,36528,資料科學家,AI工程師,IdeasLab Formosa | 智之視創新有限公司,40000,40000,1,0,https://www.yourator.co/companies/IdeasLab/jobs/36528,"Python,Swift","工作內容
影像相關研究（主要）：人體關節偵測、動作辨識、3D空間重建、物件偵測、物件追蹤
訊號後處理相關研（路徑預測或修正等內容）
建立訓練資料集（定義資料標注格式與訓練外包標注人員）
其他類型研究（根據產品功能需求決定）
工作流程
針對產品功能需求提出可行解決方案（不僅限於深度學習，可能包含傳統電腦視覺演算法，以解決問題為導向）
根據解決方案，以python開發實驗模型，並且驗證可行性
將深度學習模型或是演算法邏輯遷移至swift，並與iOS團隊合作，確認產品正常運作
工作型態
依台灣國定假日休假
上班日早上十點進度報告會議"
Yourator,43796,DevOps工程師,DevOps工程師,三端科技有限公司,50000,90000,0,0,https://www.yourator.co/companies/3pointech/jobs/43796,"AWS,CI/CD,Docker,Git,Linux,NoSQL,Python","•  規劃與管理AWS基礎架構(ECS、RDS、OpenSearch 及 EventBridge 等 ，打造高可用、具擴展性的雲端環境。
•  建立並維護 CI/CD 流程( Jenkins、GitLab CI/CD、AWS CodePipeline)，實現算自動化部署與基礎設施管理。
•  使用 Docker 進行應用容器化、編排及部署，確保環境一致性與部署效率。
•  撰寫 Python 自動化腳本以簡化日常運維任務。
•  監控與維護 Linux系統效能與安全性，快速排除運維問題。
•  管理 IAM 權限、VPN網路安全及Redis、Kafka、RabbitMQ 等關鍵服務。
•  與開發團隊密切協作，確保應用與基礎架構與穩定運作。
•  參與輪值待命（on-call），確保核心系統持續穩定。"
Yourator,46133,工程師,Linux 工程師,國泰證券投資信託股份有限公司,40000,40000,1,0,https://www.yourator.co/companies/cathaysite/jobs/46133,Linux,"1. Linux 平台系統管理
2. ReadHat Linux OCP容器平台規劃及維運
4. 系統運作監控及效能調整
5. 自動化管理日常維運工作
6. 具備基本網路觀念，TCPIP/DNS/Netbios/CIFS/NFS"
Yourator,46562,工程師,提示詞工程師,江夏株式会社,70000,84000,0,0,https://www.yourator.co/companies/Koka/jobs/46562,OpenAI API,"設計與優化 AI 角色的系統提示詞與互動邏輯架構
深入理解大型語言模型（LLM）能力邊界，提升角色穩定度與一致性
建構角色行為規則、記憶機制、語氣風格與情緒控制結構
與產品、編劇與工程團隊協作，將角色設定轉化為可執行的模型邏輯
針對模型輸出問題進行優化（偏離人設、幻覺、重複、情緒異常等）
建立角色品質評估機制與測試流程
優化 token 成本與系統回應效率"
Yourator,41628,iOS工程師,【日本東京】 iOS 開發工程師 ｜ 提供工作簽證 ｜ IT 新創公司 ｜ 不要求日文能力,江夏株式会社,40000,40000,1,3,https://www.yourator.co/companies/Koka/jobs/41628,Swift,"在日本東京擴張中的 IT 新創公司，誠徵有實務經驗的夥伴加入團隊！
✔ 可協助辦理日本工作簽證
✔ 新創公司組織扁平、彈性高、發揮空間大，以實力說話
✔ 中文為主的工作環境，對日文無硬性要求（會日文加分）
【 工作內容 】
• 與產品經理、設計師與後端工程師協作，完成產品功能開發與實作。
• 能獨立承擔專案開發任務，撰寫相關技術文件。
• 參與架構設計與技術研究，並負責程式碼規範的制定與優化。
• 遵循開發標準進行程式撰寫，確保程式碼的可讀性與維護性。"
Yourator,40808,軟體工程師,應用系統全端工程師【售後系統】,和泰汽車 Hotai Motor,44000,76000,0,0,https://www.yourator.co/companies/hotaimotor/jobs/40808,"Azure,JavaScript,Node.js,Power BI,Python,SQL","負責全國 TOYOTA、LEXUS、HINO售後服務營運系統之專案管理、開發及維護。
1. 具備良好的溝通能力，專注應用場景及邏輯、細節、合理性，並可自行發現問題及提出問題解決方案。
2. 熟悉 .NET Framework / .NET Core。
3. 熟悉MS SQL 語法及資料庫設計。
4. 熟悉 Restful API 開發。
5. 熟悉前端運用經驗(Node.JS、JavaScript)。
6. 熟悉行動應用開發及雲端開發架構經驗 (如 Python、Power BI、Azure DevOps) 者尤佳。
*錄取後需至TOYOTA經銷商據點見學三週"
Yourator,40807,軟體工程師,應用系統全端工程師【車輛系統】,和泰汽車 Hotai Motor,44000,76000,0,0,https://www.yourator.co/companies/hotaimotor/jobs/40807,,"參與 TOYOTA / LEXUS / HINO 核心營運系統全端開發、規劃與導入，協助公司推動數位轉型與業務創新。
1. 系統需求訪談與規格設計，進行跨部門溝通。
2. 建構高效能系統架構，並強化資訊安全與開發流程。
3. 積極參與大型專案，深入了解車輛供應鏈與營運流程。
*錄取後需至TOYOTA經銷商據點見學三週"
