source_platform,original_job_id,job_title,original_job_title,company_name,min_salary,max_salary,is_negotiable,experience_years,job_url,skill_name,raw_job_description
1111,99045421,機電技師／工程師,機電空調工程師,盛悅工程股份有限公司,40000,60000,0,0,https://www.1111.com.tw/job/99045421,"Excel,AutoCAD","AutoCAD,Excel,Outlook,PowerPoint,Project,Word，1.工程案件的估價、成本分析
2.工程案件的發包、材料採購
3. 排訂施工進程
4.巡視現場工地狀況
5.指揮監督各項工程相關事宜，與業主協調工程事項
6.施工、竣工圖面的繪製
7.系統測試調整工作安排
8.監督與評估分包商施工品質、進度與各項物料管理
9.每日回報與檢討。

**如配合外縣市工地享有外地工地津貼**

**配合外縣市工地調動有提供員工宿舍(北北基除外)**,收合內容"
1111,113116618,電機技師／工程師,系統建置工程師,台詮科技股份有限公司,35000,50000,0,0,https://www.1111.com.tw/job/113116618,,"，我們是一間專注於影音系統整合服務的公司，致力於提供專業的解決方案，幫助各行各業提升運營效率。我們的服務範疇涵蓋影音系統整合、弱電系統施工、網路架構建置，主要客戶群包括企業機構、政府單位及教育機構。
工作內容：
1. 協助執行電腦系統整合專案，包括弱電系統、網路布線及相關設備的施工與設置。
2. 負責系統安裝、設備調試與功能驗收，確保穩定且安全的運行。
3. 進行機房設備的操作與保養指導，負責建立和管理維護紀錄。
4. 定期檢查和診斷電機系統設備故障問題，執行修復及預防性維護。
5. 參與新技術及新產品的測試與整合，提供優化及升級建議。
6. 撰寫技術文檔、設備使用指引及維修報告。
7. 管理專案進度，與客戶及相關部門進行溝通協調。
8. 針對客戶需求，提供系統技術支援及即時問題解決。,收合內容"
1111,76012078,機電技師／工程師,機電工程師(高雄),福華工程股份有限公司,40000,48000,1,0,https://www.1111.com.tw/job/76012078,AutoCAD,"AutoCAD，機電現場監造及規劃與協調。
具有消防經驗兩年以上。,收合內容"
1111,132067424,電機維修人員,機器設備工程師,縉麟企業有限公司,35000,42000,0,3,https://www.1111.com.tw/job/132067424,,"電機設備系統裝設與測試,機械設備／產品的維修與保養,產品／設備故障排除檢修，★工作內容
◆獨自或帶領團隊完成主管交辦事項
◆安裝或維修機器設備
◆操作維修工具進行故障診斷與維護
◆前往客戶所在地，進行機器保養或維修
◆向客戶進行設備使用教學
◆必要時協助進出貨
◆可建立機器設備維修保養流程
◆完成主管交辦事項

★技能要求：具備油壓、機械、機電有經驗者或者對汽車維修設備具基本認識者尤佳

★因為安裝及維修機器時間不定，故需配合加班,收合內容"
1111,132465513,半導體設備工程師,設備工程師(新竹),躍豐企業股份有限公司,40000,48000,1,0,https://www.1111.com.tw/job/132465513,Excel,"Adobe Acrobat DC,Excel,Outlook,PowerPoint,Windows 10,Word,電子儀器設備操作與裝配能力,電機設備系統裝設與測試,電力工程設置與維護,機台／設備的操作,電子設備／電器產品維修與保養,電工儀表裝置與使用,電工圖識圖及繪圖，1.提供客戶機器設備操作說明及正確應用手法
2.機器設備的異常排除及維修
3.機器設備的稼動監控
4.機器設備的定期保養及問題排除
5.更換、調整各項機器設備的故障零件
6.機器設備及零件定期盤點及巡檢
7.提供客戶機器設備問題之分析與諮詢
8.機器設備問題追蹤解決、改善方案提供
9.機台設備安裝及驗收作業
10.內外部技術溝通協調
11.外派駐廠與當地廠區進行協作
12.即時完成主管所交付之任務
13.需具備溝通力、抗壓性、積極性，並與業務協作維護客戶關係。,收合內容"
1111,132438453,工地品管員／工程師,助理工程師(高雄),鼎尚營造股份有限公司,40000,48000,0,1,https://www.1111.com.tw/job/132438453,"Excel,AutoCAD","AutoCAD,Excel,Word，1.工作熱忱，認真負責。
2.協助工進，執行交辦工作。
3.文書資料整理。
4.無須外派其他縣市。,收合內容"
1111,132175565,韌體工程師,韌體設計工程師,聯發科技股份有限公司,40000,48000,1,2,https://www.1111.com.tw/job/132175565,,"，於IC開發前/中/後期，開發IP及System level model。,收合內容"
1111,130187255,電機技師／工程師,電氣工程師(高雄),邁爾工程顧問股份有限公司,45000,65000,0,2,https://www.1111.com.tw/job/130187255,"Excel,AutoCAD","Adobe Acrobat DC,AutoCAD,AutoCad 3D,Excel,PowerPoint,Project,Revit,Visio,Word,電力工程設置與維護,進行標單審核作業,工程品質管理,工地工程稽核和驗收,工程施工管理監督,水電工程估價╱詢價,建築／工程圖繪製與識圖,製作竣工圖,電工圖識圖及繪圖,繪製水電相關圖表，1.根據空間配置狀況，監造CCTV等設備與線路
2.審查隧道內部水電工程藍圖，檢驗施工材料
3.指導監督各施工技術人員依水電工程藍圖施工,收合內容"
1111,131990269,電機技師／工程師,電儀分析工程師,台塑企業,40000,48000,1,0,https://www.1111.com.tw/job/131990269,"Python,C#,HTML,Excel","C#,Excel,HTML,Oracle,PowerPoint,Python,Word，電儀預知保養，需負責OSI PI(RTPMS)資料庫建構與伺服器硬體/網路設備維護、智能監控數位轉型工作優化推動。,收合內容"
1111,78504859,電機技師／工程師,電儀設計工程師,台塑企業,40000,48000,1,0,https://www.1111.com.tw/job/78504859,,"，電儀工程設計。

工作地點如下，可依居住地或意願分發！
台北市內湖區（內湖大樓）
雲林縣麥寮鄉（麥寮廠區）,收合內容"
